dev1,task1.ai,task1.codehealth,task1.coverage,task1.measured_time,task1.estimated_time,task1.entry_demo_4,task1.entry_demo_5,task1.entry_ai_1,task1.entry_ai_2,task1.entry_ai_3,task1.entry_ai_4,task1.entry_ai_5,task1.entry_ai_6,task1.entry_ai_7,task1.entry_ai_8,task1.entry_ai_9,task1.entry_ai_10,task1.exit_uninterrupted,task1.exit_space_1,task1.exit_space_2,task1.exit_space_3,task1.exit_space_4,task1.exit_space_5,task1.exit_space_6,task1.exit_space_7,task1.exit_space_8,task1.exit_space_9,task1.exit_space_10,task2.dev2,task2.treatment,task2.codehealth,task2.coverage,task2.measured_time,task2.estimated_time,task2.exit_uninterrupted,task2.exit_space_1,task2.exit_space_2,task2.exit_space_3,task2.exit_space_4,task2.exit_space_5,task2.exit_space_6,task2.exit_space_7,task2.exit_space_8,task2.exit_space_9,task2.exit_space_10,task1.ai_xp,task1.ai_pref
anon047,true,8.34,0.71,13201,10800.0,Professional,Advanced,true,5.0,4.0,4.0,2.0,5.0,3.0,2.0,2.0,3.0,"Yes, but breaks",5.0,4.0,4.0,2.0,5.0,4.0,2.0,4.0,5.0,1.0,anon098,ai,8.62,0.71,93246.0,16200.0,No,5.0,5.0,4.0,2.0,5.0,3.0,5.0,5.0,5.0,2.0,5,3.375
anon139,true,8.48,0.83,92586,,Professional,Beginner,true,4.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,4.0,No,3.0,4.0,3.0,4.0,5.0,3.0,2.0,5.0,4.0,2.0,anon027,ai,8.66,0.72,88591.0,14400.0,Yes,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4,3.5
anon004,true,8.35,0.69,8024,,Professional,Intermediate,true,5.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,5.0,Yes,4.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,anon003,ai,8.32,0.69,8057.0,,Yes,5.0,4.0,5.0,2.0,4.0,4.0,3.0,5.0,4.0,1.0,5,4.375
anon118,true,8.35,0.71,7575,,Professional,Intermediate,true,4.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,2.0,"Yes, but breaks",4.0,4.0,5.0,2.0,5.0,4.0,5.0,5.0,4.0,3.0,anon052,ai,8.44,0.7,9269.0,,Yes,5.0,5.0,4.0,1.0,5.0,5.0,5.0,4.0,5.0,1.0,4,3.5
anon118,true,8.35,0.71,7575,,Professional,Intermediate,true,4.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,2.0,"Yes, but breaks",4.0,4.0,5.0,2.0,5.0,4.0,5.0,5.0,4.0,3.0,anon123,ai,8.89,0.71,2.087753e6,46800.0,No,4.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,1.0,5.0,4,3.5
anon032,true,8.3,0.7,3789,,Professional,Advanced,true,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,Yes,4.0,5.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,2.0,anon149,ai,8.41,0.68,9493.0,,Yes,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4,3.875
anon090,true,8.38,0.71,6085,,Professional,Advanced,true,4.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,Yes,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,anon141,ai,8.59,0.67,25989.0,9000.0,"Yes, but breaks",3.0,4.0,5.0,2.0,4.0,4.0,3.0,5.0,5.0,3.0,4,3.875
anon006,true,8.18,0.71,262835,9000.0,Professional,Beginner,true,4.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,Yes,4.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,2.0,anon097,ai,8.29,0.71,13893.0,,"Yes, but breaks",4.0,3.0,5.0,1.0,3.0,2.0,3.0,5.0,4.0,1.0,4,3.375
anon006,true,8.18,0.71,262835,9000.0,Professional,Beginner,true,4.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,Yes,4.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,2.0,anon022,ai,8.25,0.71,345239.0,,Yes,3.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4,3.375
anon006,true,8.18,0.71,262835,9000.0,Professional,Beginner,true,4.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,Yes,4.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,2.0,anon109,ai,8.34,0.71,3083.0,,Yes,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,4,3.375
anon147,true,8.44,0.69,5832,,Professional,Advanced,true,4.0,4.0,4.0,4.0,5.0,2.0,3.0,2.0,3.0,Yes,5.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,anon049,ai,8.57,0.67,176969.0,16200.0,Yes,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4,3.375
anon147,true,8.44,0.69,5832,,Professional,Advanced,true,4.0,4.0,4.0,4.0,5.0,2.0,3.0,2.0,3.0,Yes,5.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,anon130,ai,8.6,0.7,14018.0,12600.0,"Yes, but breaks",4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,4,3.375
anon107,true,8.36,0.68,93398,7200.0,Professional,Advanced,true,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,No,4.0,3.0,3.0,1.0,4.0,3.0,2.0,4.0,4.0,1.0,anon100,ai,8.61,0.69,15159.0,15159.0,"Yes, but breaks",5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,4,4.125
anon107,true,8.36,0.68,93398,7200.0,Professional,Advanced,true,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,No,4.0,3.0,3.0,1.0,4.0,3.0,2.0,4.0,4.0,1.0,anon046,ai,8.7,0.67,15575.0,5400.0,"Yes, but breaks",3.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,2.0,4,4.125
anon001,true,8.27,0.71,7396,5400.0,Researcher,Intermediate,true,4.0,4.0,4.0,2.0,5.0,2.0,3.0,2.0,4.0,"Yes, but breaks",4.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,5.0,anon071,ai,8.35,0.7,5679.0,,Yes,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4,3.25
anon001,true,8.27,0.71,7396,5400.0,Researcher,Intermediate,true,4.0,4.0,4.0,2.0,5.0,2.0,3.0,2.0,4.0,"Yes, but breaks",4.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,5.0,anon088,ai,8.43,0.71,15301.0,,,,,,,,,,,,,4,3.25
anon070,true,8.37,0.68,9145,5400.0,Professional,Advanced,true,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,"Yes, but breaks",4.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,anon035,ai,8.42,0.68,2283.0,,Yes,4.0,4.0,5.0,2.0,5.0,4.0,4.0,5.0,3.0,3.0,4,3.625
anon011,true,8.32,0.7,37464,19800.0,Hobbyist,Intermediate,true,4.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,No,4.0,2.0,3.0,4.0,2.0,4.0,2.0,5.0,3.0,4.0,anon093,ai,8.45,0.7,5552.0,1800.0,"Yes, but breaks",5.0,5.0,4.0,1.0,5.0,5.0,5.0,3.0,5.0,1.0,4,3.875
anon110,true,8.49,0.7,62727,18000.0,Hobbyist,Advanced,true,5.0,5.0,5.0,4.0,5.0,5.0,2.0,4.0,5.0,No,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,2.0,anon137,ai,8.58,0.7,3633.0,,Yes,5.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,5.0,1.0,5,4.625
anon133,true,8.43,0.7,9910,,Professional,Intermediate,true,4.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,Yes,5.0,4.0,4.0,1.0,5.0,4.0,4.0,4.0,5.0,5.0,anon033,ai,8.57,0.7,6307.0,,Yes,4.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,2.0,4,3.875
anon133,true,8.43,0.7,9910,,Professional,Intermediate,true,4.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,Yes,5.0,4.0,4.0,1.0,5.0,4.0,4.0,4.0,5.0,5.0,anon132,ai,8.55,0.7,254191.0,10800.0,No,4.0,4.0,5.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,4,3.875
anon099,true,8.24,0.71,116712,12600.0,Professional,Intermediate,true,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,No,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,anon112,ai,8.33,0.71,7266.0,,Yes,5.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,1.0,4,3.875
anon099,true,8.24,0.71,116712,12600.0,Professional,Intermediate,true,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,No,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,anon127,ai,8.33,0.71,2.328917e6,7200.0,"Yes, but breaks",3.0,2.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0,2.0,4,3.875
anon064,true,8.39,0.69,719926,36000.0,Professional,Intermediate,true,5.0,5.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,No,5.0,4.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,anon051,ai,8.48,0.69,95419.0,7200.0,No,4.0,4.0,3.0,1.0,5.0,4.0,3.0,4.0,3.0,1.0,5,4.25
anon064,true,8.39,0.69,719926,36000.0,Professional,Intermediate,true,5.0,5.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,No,5.0,4.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,anon115,ai,8.49,0.69,3525.0,,Yes,2.0,4.0,5.0,1.0,5.0,4.0,3.0,5.0,3.0,1.0,5,4.25
anon087,true,8.38,0.7,6678,,Professional,Intermediate,true,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,Yes,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,anon129,ai,8.47,0.69,3347.0,,Yes,5.0,5.0,5.0,1.0,5.0,2.0,5.0,5.0,5.0,1.0,5,4.375
anon073,true,8.38,0.67,537311,16200.0,Professional,Advanced,true,5.0,3.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,No,4.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,5.0,2.0,anon024,ai,8.47,0.66,8164.0,,Yes,5.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,5,3.75
anon066,true,8.21,0.73,9241,,Researcher,Advanced,true,4.0,4.0,3.0,5.0,5.0,2.0,2.0,4.0,3.0,Yes,4.0,3.0,4.0,4.0,5.0,5.0,2.0,3.0,5.0,4.0,anon119,ai,8.56,0.71,8031.0,,Yes,4.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,4,3.75
anon148,true,8.31,0.68,10750,,Professional,Intermediate,true,4.0,5.0,5.0,4.0,5.0,3.0,2.0,5.0,5.0,No,5.0,5.0,5.0,2.0,5.0,3.0,4.0,5.0,5.0,1.0,anon039,ai,8.33,0.67,5503.0,,Yes,4.0,4.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,4,4.5
anon078,true,8.23,0.71,6889,,Professional,Advanced,true,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,Yes,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,anon023,ai,8.66,0.71,635784.0,23400.0,"Yes, but breaks",4.0,3.0,4.0,1.0,4.0,4.0,3.0,5.0,4.0,3.0,5,5.0
anon076,true,8.4,0.7,61340,14400.0,Professional,Intermediate,true,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,No,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,anon089,ai,8.38,0.69,9684.0,,Yes,5.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,5,5.0
anon076,true,8.4,0.7,61340,14400.0,Professional,Intermediate,true,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,No,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,anon079,ai,8.25,0.7,26709.0,10800.0,"Yes, but breaks",4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5,5.0
anon045,false,8.31,0.69,10522,,Professional,Intermediate,false,,,,,,,,,,Yes,5.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,anon030,human,8.42,0.69,5872.0,,Yes,5.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,2.0,1,
anon045,false,8.31,0.69,10522,,Professional,Intermediate,false,,,,,,,,,,Yes,5.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,anon016,human,8.42,0.68,15663.0,,,,,,,,,,,,,1,
anon072,false,8.45,0.7,14281,,Professional,Advanced,true,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,Yes,4.0,4.0,4.0,1.0,3.0,4.0,3.0,5.0,3.0,1.0,anon086,human,8.48,0.71,12750.0,10800.0,"Yes, but breaks",4.0,5.0,5.0,1.0,5.0,4.0,4.0,5.0,4.0,3.0,3,3.25
anon060,false,8.29,0.66,15024,,Professional,Intermediate,false,,,,,,,,,,No,4.0,4.0,5.0,1.0,4.0,4.0,3.0,5.0,4.0,2.0,anon065,human,8.42,0.65,4768.0,,Yes,5.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,1.0,1,
anon060,false,8.29,0.66,15024,,Professional,Intermediate,false,,,,,,,,,,No,4.0,4.0,5.0,1.0,4.0,4.0,3.0,5.0,4.0,2.0,anon042,human,8.38,0.59,90659.0,32400.0,No,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,1,
anon029,false,8.3,0.69,11394,,Professional,Advanced,true,2.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,2.0,Yes,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,anon048,human,8.39,0.7,15779.0,15779.0,"Yes, but breaks",5.0,3.0,5.0,3.0,2.0,4.0,3.0,5.0,3.0,5.0,2,3.625
anon075,false,8.24,0.7,963933,,Professional,Advanced,true,3.0,3.0,5.0,1.0,4.0,2.0,3.0,1.0,2.0,Yes,5.0,5.0,4.0,1.0,3.0,3.0,4.0,5.0,3.0,1.0,anon135,human,8.26,0.65,6743.0,,Yes,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,3,2.625
anon058,false,8.58,0.73,963933,14400.0,Professional,Advanced,false,,,,,,,,,,No,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,anon144,human,8.59,0.72,102986.0,10800.0,No,5.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,1.0,1,
anon117,false,8.34,0.69,1207995,,Professional,Advanced,true,2.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,Yes,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,anon108,human,8.36,0.69,5229.0,,Yes,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,1.0,2,3.375
anon036,true,8.17,0.7,386746,,Professional,Beginner,true,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,No,4.0,4.0,4.0,1.0,5.0,3.0,4.0,4.0,3.0,4.0,anon055,ai,8.27,0.7,5160.0,,Yes,5.0,4.0,3.0,1.0,4.0,4.0,5.0,4.0,3.0,2.0,3,3.625
anon036,true,8.17,0.7,386746,,Professional,Beginner,true,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,No,4.0,4.0,4.0,1.0,5.0,3.0,4.0,4.0,3.0,4.0,anon145,ai,8.77,0.59,174173.0,25200.0,"Yes, but breaks",5.0,4.0,4.0,1.0,3.0,4.0,5.0,5.0,5.0,2.0,3,3.625
anon018,false,8.63,0.74,84513,,Professional,Advanced,true,2.0,3.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,anon091,human,8.72,0.74,7085.0,,Yes,5.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2,2.75
anon018,false,8.63,0.74,84513,,Professional,Advanced,true,2.0,3.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,anon069,human,8.67,0.74,1.853771e6,12600.0,No,5.0,5.0,5.0,2.0,5.0,4.0,4.0,5.0,4.0,1.0,2,2.75
anon074,false,8.18,0.71,513882,7200.0,Professional,Advanced,true,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,Yes,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,anon044,human,8.47,0.68,601178.0,3600.0,Yes,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3,2.625
anon150,false,8.24,0.72,11895,,Professional,Advanced,true,2.0,3.0,4.0,5.0,4.0,2.0,4.0,3.0,3.0,Yes,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,anon092,human,8.3,0.7,3319.0,,Yes,4.0,5.0,5.0,1.0,5.0,4.0,4.0,5.0,3.0,1.0,2,3.25
anon125,false,8.0,0.69,237249,,Professional,Intermediate,false,,,,,,,,,,No,4.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,anon077,human,8.24,0.71,54386.0,,Yes,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,1,
anon008,false,8.17,0.73,7459,,Professional,Intermediate,true,2.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,2.0,Yes,5.0,4.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,4.0,anon146,human,8.2,0.72,5297.0,,Yes,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,2,2.625
anon015,false,8.24,0.71,188651,12600.0,Professional,Advanced,true,4.0,3.0,4.0,5.0,2.0,,2.0,3.0,3.0,No,4.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,5.0,5.0,anon020,human,8.34,0.7,2887.0,,Yes,5.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,4,
anon015,false,8.24,0.71,188651,12600.0,Professional,Advanced,true,4.0,3.0,4.0,5.0,2.0,,2.0,3.0,3.0,No,4.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,5.0,5.0,anon095,human,8.34,0.7,8471.0,,Yes,4.0,4.0,4.0,1.0,5.0,3.0,3.0,3.0,3.0,1.0,4,
anon015,false,8.24,0.71,188651,12600.0,Professional,Advanced,true,4.0,3.0,4.0,5.0,2.0,,2.0,3.0,3.0,No,4.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,5.0,5.0,anon014,human,8.33,0.7,1.166364e6,43200.0,No,2.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,3.0,2.0,4,
anon015,false,8.24,0.71,188651,12600.0,Professional,Advanced,true,4.0,3.0,4.0,5.0,2.0,,2.0,3.0,3.0,No,4.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,5.0,5.0,anon131,human,8.55,0.71,17044.0,9000.0,"Yes, but breaks",4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4,
anon111,false,8.51,0.7,13141,,Professional,Advanced,false,,,,,,,,,,Yes,5.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,anon053,human,8.65,0.69,7745.0,,Yes,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,1,
anon061,false,8.5,0.72,467792,18000.0,Professional,Advanced,false,,,,,,,,,,No,5.0,5.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,anon104,human,8.54,0.7,2971.0,,Yes,5.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,1,
anon063,false,8.12,0.72,179479,3600.0,Professional,Advanced,true,3.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,Yes,5.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,2.0,anon101,human,8.25,0.71,3160.0,,Yes,4.0,4.0,2.0,3.0,5.0,4.0,4.0,2.0,4.0,1.0,3,4.5
anon114,false,8.51,0.71,242978,27000.0,Professional,Advanced,true,2.0,3.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,No,4.0,2.0,4.0,1.0,3.0,4.0,3.0,5.0,3.0,4.0,anon010,human,8.6,0.7,102541.0,25200.0,"Yes, but breaks",5.0,3.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,2,2.875
anon041,false,8.19,0.7,2349704,28800.0,Professional,Beginner,false,,,,,,,,,,No,5.0,3.0,4.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,anon040,human,8.26,0.7,14569.0,14400.0,"Yes, but breaks",5.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,1,
anon142,false,8.35,0.7,8818,,Professional,Intermediate,true,2.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,Yes,5.0,4.0,5.0,1.0,4.0,4.0,4.0,5.0,3.0,3.0,anon102,human,8.4,0.69,2218.0,,Yes,4.0,4.0,4.0,1.0,5.0,4.0,5.0,5.0,5.0,2.0,2,3.375
anon017,false,8.23,0.7,520710,21600.0,Professional,Intermediate,true,2.0,4.0,4.0,5.0,2.0,1.0,3.0,1.0,2.0,No,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,anon084,human,8.15,0.67,34324.0,27000.0,No,4.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,5.0,2,2.75
anon080,false,8.41,0.56,116487,21600.0,Professional,Advanced,true,2.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,No,5.0,3.0,5.0,2.0,3.0,4.0,4.0,5.0,3.0,1.0,anon067,human,8.56,0.65,10358.0,,Yes,5.0,5.0,3.0,2.0,5.0,4.0,4.0,4.0,5.0,1.0,2,2.625
anon080,false,8.41,0.56,116487,21600.0,Professional,Advanced,true,2.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,No,5.0,3.0,5.0,2.0,3.0,4.0,4.0,5.0,3.0,1.0,anon068,human,8.62,0.59,9110.0,9110.0,"Yes, but breaks",4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,2,2.625
anon013,false,8.22,0.66,18270,10800.0,Professional,Intermediate,false,,,,,,,,,,"Yes, but breaks",5.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,anon059,human,8.32,0.66,13893.0,,Yes,5.0,3.0,5.0,2.0,4.0,3.0,3.0,5.0,4.0,2.0,1,
