entry-demo-1,entry-demo-2,entry-demo-3,entry-demo-4,entry-demo-5,entry-ai-1,entry-ai-2,entry-ai-3,entry-ai-4,entry-ai-5,entry-ai-6,entry-ai-7,entry-ai-8,entry-ai-9,entry-ai-10,entry-date
Man,60-69,United Kingdom,Professional,Advanced,Yes,3.0,3.0,4.0,2.0,5.0,2.0,4.0,3.0,2.0,11/10/2024 16:29:03
Man,40-49,United Kingdom,Professional,Advanced,Yes,4.0,5.0,5.0,4.0,3.0,4.0,1.0,4.0,4.0,11/10/2024 17:01:45
Man,40-49,United Kingdom,Professional,Advanced,Yes,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,11/10/2024 17:55:49
Man,50-59,Prefer not to disclose,Professional,Advanced,Yes,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,11/10/2024 21:15:37
Man,30-39,United Kingdom,Professional,Advanced,No,,,,,,,,,,11/10/2024 21:23:59
Man,30-39,Australia,Professional,Advanced,No,,,,,,,,,,12/10/2024 1:01:44
Man,30-39,India,Professional,Advanced,Yes,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,12/10/2024 6:49:13
Man,50-59,United Kingdom,Professional,Advanced,Yes,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,12/10/2024 20:32:59
Man,30-39,India,Professional,Intermediate,Yes,4.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,14/10/2024 05:25:03
Woman,20-29,United Kingdom,Professional,Intermediate,No,,,,,,,,,,15/10/2024 10:11:40
Woman,30-39,India,Professional,Intermediate,No,,,,,,,,,,16/10/2024 16:12:57
Man,30-39,India,Professional,Advanced,Yes,4.0,2.0,3.0,5.0,4.0,1.0,1.0,2.0,3.0,17/10/2024 10:03:38
Man,20-29,India,Professional,Advanced,No,,,,,,,,,,18/10/2024 05:22:38
Man,40-49,Denmark,Professional,Advanced,No,,,,,,,,,,25/10/2024 08:18:59
Man,50-59,United Kingdom,Researcher,Beginner,No,,,,,,,,,,11/11/2024 12:19:16
Man,40-49,United Kingdom,Professional,Beginner,Yes,3.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,13/11/2024 19:05:44
Man,20-29,Brazil,Professional,Advanced,Yes,4.0,3.0,3.0,5.0,5.0,3.0,2.0,3.0,3.0,13/11/2024 19:15:38
Man,30-39,Germany,Professional,Advanced,Yes,2.0,2.0,2.0,4.0,3.0,2.0,5.0,1.0,3.0,13/11/2024 19:19:52
Man,20-29,Prefer not to disclose,Professional,Beginner,No,,,,,,,,,,13/11/2024 19:22:04
Man,50-59,Israel,Professional,Intermediate,Yes,4.0,5.0,5.0,4.0,5.0,3.0,2.0,5.0,5.0,13/11/2024 19:43:01
Man,40-49,Brazil,Professional,Advanced,Yes,3.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,13/11/2024 19:43:40
Man,40-49,United States,Professional,Beginner,No,,,,,,,,,,13/11/2024 19:44:25
Man,30-39,Germany,Professional,Intermediate,No,,,,,,,,,,13/11/2024 19:46:57
Man,60-69,Netherlands,Professional,Advanced,Yes,2.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,13/11/2024 19:53:21
Prefer not to disclose,30-39,Germany,Professional,Advanced,Yes,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,13/11/2024 19:53:54
Man,50-59,United States,Professional,Advanced,Yes,2.0,1.0,1.0,3.0,2.0,1.0,5.0,1.0,2.0,13/11/2024 19:54:40
Man,50-59,Poland,Professional,Intermediate,No,,,,,,,,,,13/11/2024 19:57:22
Man,40-49,Poland,Professional,Intermediate,Yes,2.0,4.0,4.0,5.0,2.0,1.0,3.0,1.0,2.0,13/11/2024 19:58:06
Man,30-39,Iceland,Professional,Beginner,Yes,3.0,4.0,5.0,5.0,5.0,3.0,2.0,4.0,4.0,13/11/2024 19:59:36
Man,50-59,United States,Professional,Intermediate,Yes,4.0,4.0,4.0,2.0,4.0,1.0,3.0,2.0,4.0,13/11/2024 19:59:42
Man,30-39,Bulgaria,Professional,Advanced,Yes,3.0,4.0,4.0,5.0,4.0,2.0,3.0,2.0,2.0,13/11/2024 20:01:27
Man,30-39,Ukraine,Professional,Intermediate,Yes,3.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,13/11/2024 20:02:01
Man,40-49,United Kingdom,Researcher,Advanced,Yes,4.0,4.0,3.0,5.0,5.0,2.0,2.0,4.0,3.0,13/11/2024 20:09:29
Man,30-39,Germany,Professional,Intermediate,Yes,2.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,13/11/2024 20:10:09
Man,20-29,Denmark,Professional,Beginner,Yes,3.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,13/11/2024 20:10:49
Man,20-29,South Africa,Professional,Beginner,Yes,2.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,13/11/2024 20:12:43
Man,40-49,Germany,Professional,Advanced,Yes,2.0,3.0,3.0,4.0,3.0,1.0,4.0,1.0,3.0,13/11/2024 20:14:34
Man,30-39,Russian Federation,Professional,Intermediate,No,,,,,,,,,,13/11/2024 20:14:44
Man,50-59,Canada,Professional,Advanced,Yes,5.0,,5.0,3.0,5.0,5.0,1.0,5.0,5.0,13/11/2024 20:15:57
Man,50-59,Finland,Professional,Intermediate,No,,,,,,,,,,13/11/2024 20:16:46
Man,30-39,New Zealand,Professional,Advanced,No,,,,,,,,,,13/11/2024 20:17:20
Man,20-29,Sweden,Professional,Advanced,Yes,2.0,3.0,2.0,2.0,5.0,3.0,4.0,2.0,4.0,13/11/2024 20:24:50
Man,40-49,Sweden,Professional,Intermediate,Yes,2.0,1.0,4.0,5.0,3.0,2.0,5.0,1.0,2.0,13/11/2024 20:25:08
Man,30-39,Tunisia,Professional,Beginner,Yes,2.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,13/11/2024 20:26:30
Man,30-39,Ukraine,Professional,Intermediate,No,,,,,,,,,,13/11/2024 20:30:30
Man,50-59,United States,Professional,Advanced,Yes,2.0,2.0,2.0,4.0,3.0,1.0,4.0,3.0,2.0,13/11/2024 20:37:53
Woman,30-39,United States,Professional,Intermediate,Yes,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,13/11/2024 20:39:10
Man,30-39,United Kingdom,Professional,Intermediate,No,,,,,,,,,,13/11/2024 20:41:36
Man,40-49,United States,Professional,Beginner,No,,,,,,,,,,13/11/2024 20:46:05
Man,50-59,Germany,Professional,Intermediate,No,,,,,,,,,,13/11/2024 20:49:47
Man,40-49,Finland,Professional,Advanced,Yes,4.0,4.0,3.0,4.0,4.0,4.0,1.0,3.0,2.0,13/11/2024 20:52:43
Man,30-39,Spain,Professional,Advanced,Yes,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,13/11/2024 20:53:05
Man,20-29,Portugal,Professional,Beginner,Yes,5.0,4.0,4.0,4.0,5.0,1.0,5.0,4.0,4.0,13/11/2024 20:53:07
Man,40-49,Brazil,Professional,Advanced,Yes,4.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,13/11/2024 21:04:39
Man,40-49,Mexico,Professional,Advanced,Yes,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,13/11/2024 21:05:51
Man,20-29,Belgium,Professional,Beginner,No,,,,,,,,,,13/11/2024 21:13:16
Man,50-59,United Kingdom,Professional,Advanced,No,,,,,,,,,,13/11/2024 21:15:02
Man,20-29,France,Professional,Advanced,Yes,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,13/11/2024 21:15:31
Man,50-59,Spain,consultant,Beginner,No,,,,,,,,,,13/11/2024 21:18:18
Man,20-29,Germany,Professional,Advanced,Yes,2.0,3.0,3.0,4.0,4.0,1.0,5.0,2.0,2.0,13/11/2024 21:18:19
Man,20-29,France,Professional,Beginner,No,,,,,,,,,,13/11/2024 21:25:58
Man,30-39,Canada,Professional,Intermediate,No,,,,,,,,,,13/11/2024 21:26:57
Man,30-39,Sweden,Professional,Beginner,Yes,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,13/11/2024 21:28:06
Prefer not to disclose,30-39,Netherlands,Professional,Advanced,Yes,2.0,3.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,13/11/2024 21:33:23
Man,30-39,Spain,Professional,Advanced,No,,,,,,,,,,13/11/2024 21:34:17
Man,40-49,Ireland {Republic},Professional,Advanced,No,,,,,,,,,,13/11/2024 21:35:47
Woman,40-49,Germany,Professional,Advanced,Yes,3.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,13/11/2024 21:43:11
Man,30-39,Belgium,Professional,Advanced,Yes,2.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,13/11/2024 21:59:22
Man,40-49,Spain,Professional,Intermediate,Yes,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,13/11/2024 22:05:01
Man,20-29,Poland,Professional,Advanced,No,,,,,,,,,,13/11/2024 22:06:34
Man,20-29,United States,Professional,Beginner,Yes,3.0,4.0,4.0,3.0,5.0,2.0,2.0,3.0,4.0,13/11/2024 22:08:18
Man,30-39,Switzerland,Professional,Advanced,No,,,,,,,,,,13/11/2024 22:15:21
Man,30-39,Finland,Professional,Intermediate,Yes,3.0,4.0,4.0,2.0,5.0,2.0,4.0,3.0,2.0,13/11/2024 22:16:40
Man,40-49,Spain,Professional,Advanced,Yes,4.0,3.0,3.0,2.0,4.0,3.0,2.0,1.0,3.0,13/11/2024 22:18:51
Man,50-59,Serbia,Professional,Advanced,No,,,,,,,,,,13/11/2024 22:19:09
Man,30-39,Mexico,Professional,Advanced,Yes,5.0,3.0,3.0,5.0,5.0,4.0,2.0,3.0,3.0,13/11/2024 22:21:36
Man,20-29,Israel,Professional,Intermediate,Yes,2.0,1.0,1.0,2.0,4.0,2.0,4.0,1.0,3.0,13/11/2024 22:22:15
Man,30-39,Sweden,Professional,Intermediate,No,,,,,,,,,,13/11/2024 22:24:09
Man,30-39,Germany,Professional,Advanced,Yes,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,13/11/2024 22:25:24
Man,30-39,United Kingdom,Professional,Advanced,Yes,3.0,3.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,13/11/2024 22:34:29
Man,40-49,Germany,Professional,Beginner,Yes,5.0,4.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0,13/11/2024 22:50:11
Man,50-59,Canada,Professional,Advanced,No,,,,,,,,,,13/11/2024 22:53:43
Man,30-39,United Kingdom,Professional,Advanced,No,,,,,,,,,,13/11/2024 22:58:08
Prefer not to disclose,40-49,Prefer not to disclose,Professional,Advanced,No,,,,,,,,,,13/11/2024 23:07:10
Man,30-39,Germany,Professional,Advanced,Yes,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,13/11/2024 23:15:10
Man,40-49,France,Professional,Advanced,No,,,,,,,,,,13/11/2024 23:32:59
Man,40-49,United States,Professional,Beginner,No,,,,,,,,,,13/11/2024 23:42:50
Man,40-49,Portugal,Professional,Advanced,No,,,,,,,,,,13/11/2024 23:45:09
Man,30-39,Bulgaria,Professional,Beginner,Yes,5.0,5.0,5.0,5.0,5.0,3.0,1.0,3.0,3.0,13/11/2024 23:58:33
Man,20-29,Austria,Professional,Intermediate,No,,,,,,,,,,14/11/2024 00:13:49
Man,20-29,United States,Professional,Beginner,Yes,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,14/11/2024 00:15:15
Man,40-49,Australia,Professional,Intermediate,No,,,,,,,,,,14/11/2024 00:29:15
Man,40-49,United States,Professional,Beginner,Yes,1.0,2.0,3.0,2.0,3.0,3.0,5.0,1.0,1.0,14/11/2024 00:34:39
Man,40-49,Portugal,Professional,Advanced,Yes,5.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,14/11/2024 00:38:14
Man,40-49,Brazil,Professional,Advanced,Yes,5.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,14/11/2024 01:17:33
Man,50-59,Australia,Professional,Advanced,Yes,5.0,3.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,14/11/2024 01:23:47
Man,60-69,Canada,Professional,Advanced,No,,,,,,,,,,14/11/2024 01:27:50
Prefer not to disclose,40-49,Prefer not to disclose,Researcher,Beginner,No,,,,,,,,,,14/11/2024 01:28:10
Man,30-39,Canada,Professional,Advanced,No,,,,,,,,,,14/11/2024 01:39:17
Man,40-49,Australia,Professional,Beginner,Yes,5.0,5.0,5.0,3.0,3.0,4.0,5.0,3.0,4.0,14/11/2024 01:43:00
Man,50-59,United States,Professional,Intermediate,Yes,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,14/11/2024 01:56:53
Man,50-59,United States,Professional,Advanced,No,,,,,,,,,,14/11/2024 02:04:14
Man,20-29,Australia,Professional,Intermediate,Yes,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,14/11/2024 02:09:19
Man,20-29,United States,Professional,Advanced,Yes,4.0,3.0,4.0,5.0,2.0,,2.0,3.0,3.0,14/11/2024 02:11:40
Man,50-59,Philippines,Professional,Intermediate,Yes,5.0,5.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,14/11/2024 02:22:56
Man,Prefer not to disclose,Canada,Professional,Beginner,Yes,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,14/11/2024 02:24:55
Man,40-49,Germany,Professional,Advanced,Yes,5.0,5.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,14/11/2024 02:25:44
Man,40-49,United States,Professional,Advanced,Yes,4.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,14/11/2024 02:33:50
Man,30-39,United States,Professional,Advanced,Yes,5.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,5.0,14/11/2024 02:39:18
Man,30-39,Australia,Professional,Intermediate,Yes,3.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,14/11/2024 02:55:37
Man,40-49,Canada,Hobbyist,Intermediate,No,,,,,,,,,,14/11/2024 02:57:41
Man,30-39,United States,Professional,Intermediate,Yes,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,14/11/2024 02:58:58
Man,40-49,Romania,Professional,Beginner,Yes,5.0,4.0,3.0,5.0,5.0,5.0,2.0,4.0,4.0,14/11/2024 03:03:12
Man,50-59,United States,Professional,Advanced,Yes,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,14/11/2024 03:18:30
Man,30-39,France,Professional,Beginner,Yes,4.0,5.0,4.0,5.0,1.0,4.0,3.0,4.0,5.0,14/11/2024 03:31:14
Man,40-49,United States,Professional,Intermediate,Yes,4.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,14/11/2024 03:50:14
Man,40-49,Australia,Professional,Beginner,Yes,2.0,3.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,14/11/2024 04:17:10
Man,20-29,United States,Professional,Advanced,No,,,,,,,,,,14/11/2024 04:31:28
Man,30-39,United States,Professional,Beginner,Yes,4.0,4.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,14/11/2024 04:46:57
Man,20-29,United States,Professional,Intermediate,Yes,2.0,1.0,2.0,4.0,2.0,1.0,4.0,1.0,2.0,14/11/2024 04:51:31
Man,40-49,Finland,Professional,Intermediate,Yes,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,14/11/2024 06:18:32
Man,30-39,Germany,Hobbyist,Advanced,Yes,5.0,5.0,5.0,4.0,5.0,5.0,2.0,4.0,5.0,14/11/2024 06:25:23
Woman,40-49,Sweden,Professional,Intermediate,No,,,,,,,,,,14/11/2024 06:58:06
Man,30-39,United States,Professional,Intermediate,Yes,1.0,2.0,2.0,3.0,1.0,1.0,5.0,3.0,3.0,14/11/2024 06:58:42
Man,40-49,Canada,Professional,Advanced,Yes,5.0,4.0,4.0,5.0,5.0,4.0,2.0,4.0,4.0,14/11/2024 07:03:12
Prefer not to disclose,40-49,Denmark,Professional,Advanced,Yes,1.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,14/11/2024 07:05:43
Man,60-69,Singapore,Professional,Advanced,Yes,4.0,4.0,4.0,3.0,5.0,2.0,4.0,2.0,3.0,14/11/2024 07:13:06
Man,30-39,India,Professional,Advanced,Yes,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,14/11/2024 07:20:14
Man,30-39,Belgium,Professional,Beginner,Yes,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,14/11/2024 07:21:09
Man,30-39,Finland,Professional,Beginner,Yes,5.0,5.0,5.0,5.0,5.0,4.0,1.0,3.0,5.0,14/11/2024 07:22:04
Man,20-29,Nepal,Professional,Intermediate,Yes,3.0,5.0,5.0,4.0,5.0,3.0,1.0,4.0,4.0,14/11/2024 07:22:29
Man,40-49,Finland,Professional,Advanced,Yes,4.0,3.0,4.0,1.0,5.0,4.0,3.0,2.0,3.0,14/11/2024 07:29:02
Man,50-59,Germany,Professional,Advanced,Yes,3.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,14/11/2024 07:31:03
Prefer not to disclose,40-49,Germany,Professional,Advanced,Yes,2.0,3.0,3.0,4.0,4.0,2.0,4.0,1.0,2.0,14/11/2024 07:32:18
Man,60-69,United Kingdom,Professional,Advanced,Yes,2.0,3.0,4.0,5.0,5.0,5.0,1.0,4.0,4.0,14/11/2024 07:42:31
Man,30-39,Czech Republic,Professional,Beginner,Yes,5.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,14/11/2024 07:46:09
Man,40-49,Germany,Professional,Beginner,Yes,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,14/11/2024 07:57:31
Man,30-39,Moldova,Professional,Intermediate,Yes,3.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,14/11/2024 08:02:27
Man,40-49,Italy,Professional,Intermediate,Yes,3.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,2.0,14/11/2024 08:04:27
Man,40-49,United Kingdom,Professional,Intermediate,Yes,4.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,14/11/2024 08:05:59
Man,50-59,Sweden,Professional,Advanced,Yes,4.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,14/11/2024 08:06:02
Man,20-29,Serbia,Professional,Intermediate,Yes,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,14/11/2024 08:19:29
Man,30-39,Poland,Professional,Intermediate,Yes,2.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,2.0,14/11/2024 08:21:36
Man,40-49,Portugal,Professional,Advanced,No,,,,,,,,,,14/11/2024 08:25:08
Man,40-49,Austria,Professional,Advanced,Yes,5.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,14/11/2024 08:25:22
Man,40-49,Thailand,Professional,Beginner,Yes,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,,14/11/2024 08:29:08
Man,Prefer not to disclose,Prefer not to disclose,Prefer not to disclose,Intermediate,Yes,5.0,,5.0,5.0,5.0,5.0,1.0,5.0,,14/11/2024 08:41:22
Man,50-59,France,Professional,Beginner,No,,,,,,,,,,14/11/2024 08:54:51
Man,50-59,United Kingdom,Professional,Advanced,No,,,,,,,,,,14/11/2024 08:57:44
Man,30-39,Poland,Professional,Advanced,Yes,2.0,3.0,2.0,5.0,3.0,2.0,4.0,3.0,3.0,14/11/2024 08:59:16
Woman,40-49,New Zealand,Professional,Advanced,Yes,4.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,14/11/2024 09:13:30
Man,50-59,Denmark,Professional,Intermediate,No,,,,,,,,,,14/11/2024 09:20:12
Man,50-59,Poland,Hobbyist,Intermediate,Yes,4.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,14/11/2024 09:31:59
Man,40-49,Australia,Professional,Beginner,Yes,4.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,14/11/2024 09:43:00
Man,30-39,Italy,Professional,Beginner,Yes,4.0,4.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0,14/11/2024 09:47:12
Man,40-49,United Kingdom,Professional,Intermediate,Yes,2.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,14/11/2024 09:49:33
Man,50-59,Italy,Professional,Advanced,Yes,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,14/11/2024 09:50:47
Man,40-49,Czech Republic,Professional,Beginner,Yes,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,14/11/2024 09:56:15
Man,30-39,Belgium,Professional,Beginner,Yes,4.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,14/11/2024 10:01:08
Man,50-59,United Kingdom,Professional,Intermediate,Yes,4.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,14/11/2024 10:11:27
Man,20-29,Romania,Professional,Intermediate,Yes,3.0,1.0,4.0,5.0,4.0,1.0,5.0,1.0,1.0,14/11/2024 10:20:48
Man,30-39,India,Professional,Intermediate,Yes,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,14/11/2024 10:24:05
Man,30-39,France,Professional,Beginner,Yes,4.0,3.0,3.0,4.0,5.0,1.0,2.0,3.0,2.0,14/11/2024 10:27:23
Man,40-49,United Kingdom,Professional,Intermediate,Yes,3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,14/11/2024 10:28:02
Man,30-39,Poland,Professional,Advanced,Yes,3.0,4.0,4.0,5.0,2.0,4.0,2.0,3.0,2.0,14/11/2024 10:28:10
Man,20-29,Latvia,Professional,Beginner,Yes,4.0,3.0,4.0,5.0,5.0,3.0,2.0,3.0,4.0,14/11/2024 10:28:14
Man,30-39,India,Professional,Advanced,Yes,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,14/11/2024 10:33:30
Man,50-59,France,Hobbyist,Beginner,Yes,2.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,,14/11/2024 10:38:30
Man,30-39,United Kingdom,Professional,Intermediate,Yes,4.0,5.0,4.0,4.0,5.0,4.0,2.0,5.0,5.0,14/11/2024 10:47:29
Man,40-49,Australia,Professional,Advanced,Yes,2.0,4.0,3.0,5.0,4.0,2.0,3.0,3.0,4.0,14/11/2024 10:59:06
Man,40-49,Bulgaria,Professional,Advanced,Yes,2.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,4.0,14/11/2024 10:59:31
Man,30-39,Armenia,Professional,Intermediate,Yes,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,14/11/2024 11:02:14
Man,40-49,France,Researcher,Intermediate,Yes,4.0,4.0,4.0,2.0,5.0,2.0,3.0,2.0,4.0,14/11/2024 11:21:23
Man,30-39,Germany,Professional,Beginner,No,,,,,,,,,,14/11/2024 11:25:06
Man,30-39,Germany,Professional,Advanced,Yes,1.0,4.0,4.0,3.0,5.0,3.0,3.0,1.0,3.0,14/11/2024 11:30:20
Woman,40-49,Ghana,Hobbyist,Intermediate,No,,,,,,,,,,14/11/2024 11:37:05
Man,40-49,Germany,Professional,Intermediate,Yes,3.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,14/11/2024 11:38:38
Man,40-49,Spain,Professional,Advanced,Yes,5.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,4.0,14/11/2024 11:49:35
Man,40-49,Belgium,Professional,Intermediate,Yes,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,14/11/2024 11:54:14
Man,30-39,Spain,Professional,Advanced,Yes,4.0,1.0,2.0,4.0,2.0,1.0,5.0,1.0,1.0,14/11/2024 12:07:53
Man,30-39,Sweden,Professional,Intermediate,Yes,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,14/11/2024 12:09:54
Man,50-59,Brazil,Professional,Intermediate,No,,,,,,,,,,14/11/2024 12:21:11
Man,50-59,United Kingdom,Professional,Advanced,Yes,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,14/11/2024 12:24:50
Man,30-39,Norway,Professional,Intermediate,Yes,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,14/11/2024 12:25:53
Man,40-49,United States,Professional,Advanced,Yes,4.0,4.0,4.0,5.0,5.0,4.0,1.0,3.0,3.0,14/11/2024 12:30:22
