github,predecessor,treatment,codehealth,codehealth_diff,coverage,coverage_diff,test_runs,measured_time,estimated_time,entry-demo-1,entry-demo-2,entry-demo-3,entry-demo-4,entry-demo-5,entry-ai-1,entry-ai-2,entry-ai-3,entry-ai-4,entry-ai-5,entry-ai-6,entry-ai-7,entry-ai-8,entry-ai-9,entry-ai-10,entry-date,exit-uninterrupted,exit-used-ai,exit-ai-text,exit-ai-frequency,exit-resemblance,exit-tools-text,exit-space-1,exit-space-2,exit-space-3,exit-space-4,exit-space-5,exit-space-6,exit-space-7,exit-space-8,exit-space-9,exit-space-10,exit-final-text,exit-date,email-text,gh-commits,gh-additions,gh-deletions,gh-changes,gh-changed-files,gh-adds-unit-test,gh-adds-behavioural-test,gh-adds-functional,gh-adds-sql,gh-adds-logging,gh-adds-exception-handling,gh-adds-dependency,clean_time,pp_mean
anon123,anon118,ai,8.89,0.54,0.71,0.0,46.0,2087753.0,46800.0,Man,20-29,Germany,Professional,Advanced,Yes,2.0,3.0,3.0,4.0,4.0,1.0,5.0,2.0,2.0,13/11/2024 21:18:19,No,No,,,5.0,,4.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,1.0,5.0,"It’s been years since I’ve touched any Java code - even longer since using Spring. The broadness of the task also left it open to which optimizations should be done, but I feel much more satisfied and know the system is easier to work with after working on it",12/20/2024 0:37:36,"I'd say I've spent around 12-16 hours studying the stack - last time I worked with Java it was Java 7, and a lot has changed. In that time I did, of course, spend some time experimenting with different solutions which did not make it into the project.

After settling with the JPA Specification API, it took me 2-4 hours to have the acceptance test green, on commit <REMOVED>, which would deliver already user value.

Sticking to the role I was playing as a consultant, I then invested some time in refactoring, which then took another 8-12 hours, I'd say. I wasn't sure if this was expected for the task, but its description gave me the impression that the assessment would be reviewed as if I were hired to do a job. That's why I tried to be as professional as possible. The message was that the client was unhappy with the project, so I took the opportunity to make it easier to work with the code and optimise database reads, which was not described in the problem, but would be beneficial in a real world scenario. If you want to consider time-to-first-green-acceptance-tests, you can disregard these hours.",16.0,645.0,220.0,865.0,14.0,True,False,False,False,False,True,True,46800.0,2.7
anon149,anon032,ai,8.41,0.11,0.68,-0.02,,9493.0,,Man,30-39,New Zealand,Professional,Advanced,No,,,,,,,,,,13/11/2024 20:17:20,Yes,No,,,4.0,,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,,11/28/2024 20:34:12,,2.0,233.0,273.0,506.0,7.0,False,False,False,True,False,False,True,9493.0,3.5
anon141,anon090,ai,8.59,0.21,0.67,-0.04,14.0,25989.0,9000.0,Man,40-49,Germany,Professional,Advanced,Yes,2.0,3.0,3.0,4.0,3.0,1.0,4.0,1.0,3.0,13/11/2024 20:14:34,"Yes, but breaks",No,,,4.0,,3.0,4.0,5.0,2.0,4.0,4.0,3.0,5.0,5.0,3.0,"I think I spent roughly as much time getting git authentication to work as I did implementing the actual task; somewhat annoying that the permissions are not set up to work with GitHub SSO over https, so convenience IDE integration of git not working properly.

Other than that, nice project, gave me the opportunity to try out something I haven't had much experience with before (criteria queries) after thinking for a bit about what would make sense in terms of separation of concerns, and learn some new things about this.

Overall, I could have spent more time on cleaning up the mvc tests for search, since they were more or less redundant after separating business logic out from controller layer, but decided to remove them instead over re-writing all the mock test cases due to time constraints.

I believe this to be motivated due to the fact that in this case, the tests vere very generic / low quality (testing business logic only through number of returned results, mixing with controller status tests, etc.), and in effect added more or less only false confidence to the test suite.

I would consider adding mvc tests again provided there was custom exception handling, input validation, etc. to be tested. Work to add exception handling and input validation could also have been part of this extension, but as the scope was more or less well defined, this was skipped. I could probably also have improved the criteria queries by further refinement as well, but overall I believe they are easy to understand in their current form.

Finally, I think this is a great topic to study, I have observed a significant overhead at work due to AI-generated code subtly not working as expected in maintenance scenarios, and developers spending much more time reviewing AI-generated PRs than I human-made ones lately (especially for code written in languages where there is not a lot of documentation available online, such as, e.g. RPG). It would be nice if this study can shed some light on whether this is just my subjective experience, or a systematic issue with over-reliance/over-trust when it comes to AI-assisted development.",11/28/2024 18:25:33,"I'd estimate I spent roughly 2.0 - 2.5 hours on the task total, with potentially less time on actually coding, I basically just set the project up in the first session before lunch, which turned out to be a bit trickier than expected due to some issue with GitHub if I recall correctly. The actual coding was done in the second session, starting after lunch, roughly 1pm I'd say.",1.0,411.0,362.0,773.0,12.0,False,True,True,False,False,False,True,9000.0,4.0
anon097,anon006,ai,8.29,0.11,0.71,0.0,4.0,13893.0,,Man,30-39,Serbia,Professional,Advanced,Yes,1.0,2.0,2.0,3.0,4.0,1.0,5.0,2.0,2.0,15/11/2024 13:09:30,"Yes, but breaks",No,,,5.0,GitHub Codespaces,4.0,3.0,5.0,1.0,3.0,2.0,3.0,5.0,4.0,1.0,,12/2/2024 16:54:07,,3.0,35.0,12.0,47.0,5.0,False,False,False,False,False,False,False,13893.0,3.9
anon022,anon006,ai,8.25,0.07,0.71,0.0,2.0,345239.0,,Man,40-49,Netherlands,Professional,Beginner,No,,,,,,,,,,15/11/2024 11:56:27,Yes,No,,,4.0,SonarQube,3.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,I found it fun working in an unfamiliar language. My main language is C# and I work normally in Visual Studio and with dotNET.,1/11/2025 10:15:58,,1.0,55.0,10.0,65.0,4.0,True,False,False,False,False,False,False,,3.9
anon109,anon006,ai,8.34,0.16,0.71,0.0,6.0,3083.0,,Man,40-49,Germany,Professional,Advanced,Yes,4.0,3.0,3.0,4.0,5.0,1.0,4.0,1.0,1.0,15/11/2024 12:15:32,Yes,No,,,5.0,,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,The task was a bit simple. I finished it in under 30 minutes even though I did not know the code.,11/29/2024 16:48:18,,1.0,20.0,23.0,43.0,2.0,False,False,False,False,False,False,False,3083.0,5.0
anon049,anon147,ai,8.57,0.13,0.67,-0.02,8.0,176969.0,16200.0,Man,30-39,Australia,Professional,Intermediate,Yes,3.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,14/11/2024 02:55:37,Yes,No,,,4.0,,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,"I haven't coded in Java since my uni days (around 2006). So my understanding around modern Java development concepts for Web was limited and I felt that affected my ability to produce a solution as higher quality than what I normally would had I been working with my primary development language (c#. Net). Overall I think I did OK as I tried following existing patterns in the code base. I still had fun working through the solution regardless. (Second answer: Although I haven't used Java as a programming language since my uni days (circa 2006), I felt I did an OK job with the task given the requirements, time allocated and the way the original program was written.)",11/28/2024 20:07:21,"spent the time in two separate sessions. The first session was simply to setup a development environment on a virtual machine for two reasons, firstly for security reasons; I can sandbox the code I've not fully reviewed yet. Secondly, I am not a Java developer by trade so I had to research and decide on an IDE to use in order to get the code in a working environment that I can easily view, compile and change. One I had that setup, I believe I downloaded the code and made sure it would compile correctly without any issues. That was the extent of my first session, I didn't review the code or really read through the whole change request. As I tend to only have time for these things late at night after work and dealing with my young kids I'd estimate that the first session was likely 1.5 to 2 hours including setup of a virtual machine and researching Java IDEs. I didn't come back to it until 2 days later as I recall it was a Friday night and that's when I sat down, read through the change request, reviewed the code base and made the change to suit the request, followed by some testing. I'd estimate I spent about 2.5 to 3 hours working on that change. I expect that the amount of time it took me to complete the change was because I am not a Java developer and I haven't had to touch Java code since 2007. As I spent time just setting up my environment I didn't consider that aspect as part of the actual coding time so I considered the time I spent on the second evening working out the problem and providing a solution to it a single session. I do apologise if that was not the correct way to report it. The way I see it, if I was a Java developer, then I would have already have a Java development environment setup so the first night of setting up as I did would not have come into play, in which case I didn't consider it as time spent working on the given problem.",1.0,33.0,1.0,34.0,3.0,False,False,True,False,False,False,False,16200.0,4.0
anon130,anon147,ai,8.6,0.16,0.7,0.01,7.0,14018.0,12600.0,Man,40-49,United States,Professional,Advanced,Yes,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,14/11/2024 17:06:57,"Yes, but breaks",No,,,4.0,,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,"5 stars, would recommend",12/11/2024 14:16:03,,3.0,87.0,16.0,103.0,4.0,True,False,False,False,False,False,False,12600.0,4.1
anon100,anon107,ai,8.61,0.25,0.69,0.01,9.0,15159.0,15159.0,Man,50-59,United States,Professional,Advanced,Yes,2.0,1.0,1.0,3.0,2.0,1.0,5.0,1.0,2.0,13/11/2024 19:54:40,"Yes, but breaks",No,,,5.0,,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,"I put that there was a frustration at ""1"". The initial 40 minutes getting the project setup and the tests running was the frustration part. Once that initial setup was done it was easy and straight forward.",11/25/2024 18:44:48,"I did complete the whole thing in ""one session"" but I did adhere to Pomodoro technique. For around every 24 minutes, I'd take a 6-minute break. I'd estimate I spent 3.5 hours on task typing.",21.0,290.0,69.0,359.0,6.0,True,False,True,False,False,False,False,15159.0,5.0
anon046,anon107,ai,8.7,0.34,0.67,-0.01,8.0,15575.0,5400.0,Undisclosed,30-39,Germany,Professional,Advanced,Yes,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,13/11/2024 19:53:54,"Yes, but breaks",No,,,3.0,,3.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,2.0,,12/12/2024 21:46:26,,1.0,611.0,158.0,769.0,16.0,True,True,True,False,False,False,False,5400.0,3.2
anon071,anon001,ai,8.35,0.08,0.7,-0.01,,5679.0,,Man,50-59,Sweden,Professional,Intermediate,Yes,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,03/01/2025 16:16:49,Yes,No,,,4.0,,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,,1/20/2025 22:02:59,,2.0,16.0,3.0,19.0,2.0,False,False,False,False,False,False,False,5679.0,3.3
anon088,anon001,ai,8.43,0.16,0.71,0.0,3.0,15301.0,,Man,40-49,United Kingdom,Professional,Advanced,Yes,5.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,29/11/2024 12:48:02,,,,,,,,,,,,,,,,,,,,5.0,101.0,5.0,106.0,3.0,True,False,False,False,False,False,False,15301.0,
anon035,anon070,ai,8.42,0.05,0.68,0.0,8.0,2283.0,,Man,40-49,Spain,Professional,Advanced,Yes,4.0,3.0,3.0,2.0,4.0,3.0,2.0,1.0,3.0,13/11/2024 22:18:51,Yes,No,,,5.0,,4.0,4.0,5.0,2.0,5.0,4.0,4.0,5.0,3.0,3.0,,1/29/2025 14:17:22,,1.0,11.0,3.0,14.0,1.0,False,False,False,False,False,False,False,2283.0,4.1
anon093,anon011,ai,8.45,0.13,0.7,0.0,,5552.0,1800.0,Man,40-49,South Africa,Professional,Advanced,Yes,2.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,15/11/2024 16:01:47,"Yes, but breaks",No,,,3.0,,5.0,5.0,4.0,1.0,5.0,5.0,5.0,3.0,5.0,1.0,"Java was a little unexpected, but it hasn't changed much.",12/3/2024 17:42:53,"We have a new baby in the house and that's the same reason I didn't get to sit for one session. I think I spent about 0.5 hours on the task, this included wondering if something more was expected and then deciding to keep it simple.",1.0,54.0,2.0,56.0,3.0,False,False,False,False,False,False,False,1800.0,4.7
anon137,anon110,ai,8.58,0.09,0.7,0.0,5.0,3633.0,,Man,40-49,Pakistan,Professional,Advanced,Yes,2.0,4.0,4.0,5.0,5.0,4.0,2.0,2.0,4.0,14/11/2024 15:40:04,Yes,No,,,4.0,,5.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,5.0,1.0,,12/9/2024 14:29:46,,1.0,6.0,1.0,7.0,2.0,False,False,False,False,False,False,False,3633.0,4.5
anon033,anon133,ai,8.57,0.14,0.7,0.0,1.0,6307.0,,Man,20-29,Belgium,Professional,Beginner,No,,,,,,,,,,13/11/2024 21:13:16,Yes,No,,,4.0,,4.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,2.0,,12/2/2024 19:19:47,,2.0,58.0,2.0,60.0,6.0,True,False,False,False,False,False,False,6307.0,4.0
anon132,anon133,ai,8.55,0.12,0.7,0.0,30.0,254191.0,10800.0,Man,50-59,United Kingdom,Professional,Advanced,No,,,,,,,,,,13/11/2024 21:15:02,No,No,,,4.0,,4.0,4.0,5.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,"I completed the task in 2 sessions. In the first session I completed the implementation and running the acceptance tests to completion. I haven't used JPA repositories in about 12 years, and I needed to refer to the soring docs for a refresher. 

In the second session, I worked on modifying and adding tests to fit my solution. Not as focused as when I was doing the implementation, as I enjoying a glass of wine and watching the Thanksgiving NFL game.",12/2/2024 15:55:39,I did the task in a split session of about 2h and then 1h. It was a Friday evening and I stopped for some food and wine and then finished the task accompanied by some more wine. I had a few days before the deadline and just left it over the weekend to review and submit on the Monday. ,1.0,140.0,87.0,227.0,6.0,True,False,False,True,False,False,False,10800.0,3.9
anon112,anon099,ai,8.33,0.09,0.71,0.0,16.0,7266.0,,Man,20-29,Undisclosed,Professional,Beginner,No,,,,,,,,,,13/11/2024 19:22:04,Yes,No,,,4.0,,5.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,1.0,"Hi.
I think the expected work needed for completing the task wasn't clearly described. The impression I got from the video and the task didn't really match. So I decided to finish it without being intrusive and apply the least amount of change in the code.
For instance, I decided to not starts from writing tests, which I would normally do, because it felt like it wasn't possible without refactoring parts of the code.
It took about an hour with setting up the environment, so I thought maybe I'm missing something.
Cheers.",11/22/2024 15:59:56,,1.0,11.0,0.0,11.0,2.0,False,False,False,False,False,True,False,7266.0,4.1
anon127,anon099,ai,8.33,0.09,0.71,0.0,4.0,2328917.0,7200.0,Man,40-49,Brazil,Professional,Advanced,Yes,3.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,13/11/2024 19:43:40,"Yes, but breaks",No,,,4.0,,3.0,2.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0,2.0,Thanks for being part of this study,1/6/2025 11:43:48,"Actually most of the work was done on the second iteration. The first iteration I was just setting up the environment and getting around the problem, but I only could get back to it weeks later. The first session was no more than 0.5 hour and the second about 1.5 hour, giving about 2 hours in total. I hope this helps, let me know if there’s anything else.",2.0,12.0,2.0,14.0,2.0,False,False,False,False,False,True,False,7200.0,3.0
anon051,anon064,ai,8.48,0.09,0.69,0.0,14.0,95419.0,7200.0,Man,60-69,Canada,Professional,Advanced,No,,,,,,,,,,14/11/2024 01:27:50,No,No,,,3.0,,4.0,4.0,3.0,1.0,5.0,4.0,3.0,4.0,3.0,1.0,,12/6/2024 13:43:05,"The first commit is most of the time (I don't remember how much time, but between 1 and 2 hours).  That was in the evening of Dec 5th.  Then in the morning of Dec 6th, I reviewed what I had done and made some refinements about 0.5 hours.",2.0,32.0,3.0,35.0,2.0,False,False,False,False,False,False,False,7200.0,4.0
anon115,anon064,ai,8.49,0.1,0.69,0.0,3.0,3525.0,,Man,40-49,Netherlands,Professional,Intermediate,No,,,,,,,,,,14/11/2024 14:33:55,Yes,No,,,5.0,,2.0,4.0,5.0,1.0,5.0,4.0,3.0,5.0,3.0,1.0,The task seemed rather trivial (spend more time getting maven and java running then the actual code changes).,12/16/2024 13:25:54,,1.0,6.0,1.0,7.0,1.0,False,False,False,False,False,False,False,3525.0,4.1
anon129,anon087,ai,8.47,0.09,0.69,-0.01,2.0,3347.0,,Man,60-69,United States,Hobbyist,Intermediate,Yes,4.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,,14/11/2024 14:14:49,Yes,No,,,4.0,,5.0,5.0,5.0,1.0,5.0,2.0,5.0,5.0,5.0,1.0,Most of my time was spent trying to figure out how to configure the jdk on my Mac. The actual programming job took less than 5 minutes.,12/3/2024 17:06:11,,1.0,10.0,2.0,12.0,2.0,False,False,False,False,False,False,False,3347.0,4.7
anon024,anon073,ai,8.47,0.09,0.66,-0.01,1.0,8164.0,,Undisclosed,50-59,United Kingdom,Professional,Beginner,No,,,,,,,,,,28/11/2024 23:36:20,Yes,No,,,4.0,,5.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,"I wish I had given myself more time to consider my code before submitting it. Then I would have realised my mistake of not checking the two numbers I needed to divide for being null or the denominator being zero, and would have put in a check for it. I realised my mistake when I woke up the following morning. This is not an uncommon experience! (although sometimes I find I didn't make any mistake, just feared it)!
The last time I did any Java was 20 years ago on an evening course. All I remembered from that was about Integer vs int etc Java's class versions of fundamental types. So I did a couple of days of this year's Advent of Code in Java to get in practice a little before starting the challenge. I usually code with SQL, php, C#, html, js at work, but for my hobby C++ or Python.",12/19/2024 16:15:25,,1.0,28.0,1.0,29.0,3.0,False,False,True,False,False,False,False,8164.0,3.7
anon119,anon066,ai,8.56,0.35,0.71,-0.02,9.0,8031.0,,Man,30-39,Spain,Professional,Advanced,No,,,,,,,,,,13/11/2024 21:34:17,Yes,No,,,4.0,,4.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,,11/25/2024 16:53:42,,7.0,384.0,362.0,746.0,20.0,False,False,True,False,False,False,False,8031.0,2.7
anon039,anon148,ai,8.33,0.02,0.67,-0.01,8.0,5503.0,,Man,30-39,United Kingdom,Professional,Beginner,Yes,4.0,4.0,4.0,4.0,5.0,3.0,2.0,3.0,4.0,03/12/2024 22:40:45,Yes,No,,,4.0,,4.0,4.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,"just a feedback about the complexity of the task, it was very simple even though I'm not familiar with Java.",12/26/2024 17:01:31,,1.0,39.0,14.0,53.0,2.0,False,False,True,False,False,False,False,5503.0,3.7
