github,successors,unresponsives,incompletes,ai,codehealth,coverage,test_runs,measured_time,estimated_time,entry-demo-1,entry-demo-2,entry-demo-3,entry-demo-4,entry-demo-5,entry-ai-1,entry-ai-2,entry-ai-3,entry-ai-4,entry-ai-5,entry-ai-6,entry-ai-7,entry-ai-8,entry-ai-9,entry-ai-10,entry-date,exit-uninterrupted,exit-used-ai,exit-ai-text,exit-ai-frequency,exit-resemblance,exit-tools-text,exit-space-1,exit-space-2,exit-space-3,exit-space-4,exit-space-5,exit-space-6,exit-space-7,exit-space-8,exit-space-9,exit-space-10,exit-final-text,exit-date,email-text,gh-commits,gh-additions,gh-deletions,gh-changes,gh-changed-files,gh-adds-unit-test,gh-adds-behavioural-test,gh-adds-functional,gh-adds-sql,gh-adds-logging,gh-adds-exception-handling,gh-adds-dependency,clean_time,pp_mean
anon007,0,0,0,True,8.4,0.7,5.0,3014296,25200.0,Man,50-59,United States,Professional,Advanced,Yes,4.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,15/11/2024 06:03:58,No,Yes,"GitHub Copilot, Microsoft Copilot",Sometimes,2.0,,5.0,2.0,3.0,4.0,4.0,4.0,2.0,5.0,3.0,5.0,"I found the AI helped me get up to speed and productive reasonably quickly with an unfamiliar tech stack. I used AI much less for design/coding in this experiment, relative to what I would normally do in my ""day job"", partly because I found the design/coding part of the experiment to be relatively small/simple, compared to the onboarding effort.",1/5/2025 21:36:19,"I didn't track my active time, but I would estimate it was probably somewhere between 6 hours and 8 hours total. The large gap between sessions is partly due to the holidays and partly due to my not having additional time after the first session to work on it further before the original deadline only to find an email later that the deadline had been extended.",4,75,80,155,7,True,False,True,False,True,False,False,25200.0,3.1
anon118,2,0,1,True,8.35,0.71,6.0,7575,,Woman,30-39,Netherlands,Professional,Intermediate,Yes,4.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,2.0,14/11/2024 21:29:55,"Yes, but breaks",Yes,"ChatGPT, JetBrains AI Assistant",Sometimes,5.0,SonarQube,4.0,4.0,5.0,2.0,5.0,4.0,5.0,5.0,4.0,3.0,,11/21/2024 12:28:10,,6,68,55,123,5,False,False,True,False,False,False,False,7575.0,4.3
anon105,0,1,3,True,8.2,0.79,12.0,10524,,Man,30-39,Poland,Professional,Advanced,Yes,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,14/11/2024 21:22:12,Yes,Yes,GitHub Copilot,Often,4.0,,4.0,4.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0,2.0,"I tried to always use the AI assistant, even for the issues that I would normally look up in the internet. It wasn't great, I took more time trying to give a precise question than I would just searching with Google.",12/3/2024 22:15:10,,11,355,460,815,22,True,False,True,False,False,False,False,10524.0,4.0
anon032,1,1,0,True,8.3,0.7,1.0,3789,,Man,30-39,France,Professional,Advanced,Yes,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,14/11/2024 20:13:39,Yes,Yes,GitHub Copilot,Often,4.0,,4.0,5.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,2.0,,11/18/2024 21:19:22,,1,165,73,238,8,False,False,True,False,True,False,False,3789.0,4.2
anon090,1,2,1,True,8.38,0.71,,6085,,Man,40-49,Netherlands,Professional,Advanced,Yes,4.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,14/11/2024 20:12:50,Yes,Yes,GitHub Copilot,Sometimes,4.0,,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,"I use AI for things I am not an expert in (SQL, python, mongo queries, unfamiliar libraries), not so much for things I am an expert in (spring, java, kotlin).",11/19/2024 10:31:55,,4,123,74,197,6,True,False,True,False,False,False,False,6085.0,3.6
anon006,3,0,0,True,8.18,0.71,5.0,262835,9000.0,Man,30-39,Canada,Professional,Beginner,Yes,4.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,14/11/2024 19:14:43,Yes,Yes,"GitHub Copilot, VS IntelliCode",Often,5.0,,4.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,2.0,,11/28/2024 18:21:46,"Well, I guess the inconsistency comes from the fact that I pulled the code way before I start coding. In fact, I didn't have time to start working on the code right away, so I postponed it to the weekend. However, I finished the code in one session. It's been a while since the time I worked on the code. To best of my knowledge, it took me about 2.5 (or maybe 3) hours to finish the task.",3,75,33,108,4,False,False,False,False,True,False,False,9000.0,4.7
anon147,2,0,1,True,8.44,0.69,3.0,5832,,Man,30-39,Spain,Professional,Advanced,Yes,4.0,4.0,4.0,4.0,5.0,2.0,3.0,2.0,3.0,14/11/2024 16:32:36,Yes,Yes,GitHub Copilot,Often,3.0,,5.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,"During this task, similar to real life, I use copilot as an auto complete. I don't ask it to solve my problem, I have enough experience to do that alone and usually it's more a waste of time than anything else if I ask open ended questions. Instead, as an auto complete, it works really well, I start to write the first few letters of a statement and copilot does the rest. However a human double check is always needed",11/25/2024 20:33:25,,4,457,174,631,11,True,False,True,False,False,False,False,5832.0,4.2
anon107,2,0,0,True,8.36,0.68,1.0,93398,7200.0,Man,40-49,United Kingdom,Professional,Advanced,Yes,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,14/11/2024 13:17:57,No,Yes,"GitHub Copilot, Cursor",Every statement,4.0,Docker,4.0,3.0,3.0,1.0,4.0,3.0,2.0,4.0,4.0,1.0,"While I used AI throughout, the AI that I used was not really able to understand the issues with the code. It seemed to struggle even when I pointed it directly at the issue. However, once I identified the problem it did a good job of helping to write the code and also acted as my code reviewer to help improve the code, in its view. I did not always take it's code review guidance though, since it sometimes wanted to make drastic changes outside the scope of the ticket",11/18/2024 18:39:24,"Between 2.0 - 2.5 hours, probably closer to 2.0. I had a brief read on the and added a few quick notes and helpers on the first day but then revisited the next day for a little under 2 hours.",5,510,98,608,14,False,False,True,False,True,True,False,7200.0,3.7
anon001,2,1,1,True,8.27,0.71,5.0,7396,5400.0,Man,40-49,France,Researcher,Intermediate,Yes,4.0,4.0,4.0,2.0,5.0,2.0,3.0,2.0,4.0,14/11/2024 11:21:23,"Yes, but breaks",Yes,GitHub Copilot,Sometimes,1.0,,4.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,5.0,"I spent too much time looking for information about SpringBoot, the process of serialisation and deserialisation. I do not use Spring but I was aware there was mappers, so I first suspected a problem with a bad mapper. I had no tools to inspect the database which was a big problem for me as I wanted to ensure that data where really well stored, I guess I would have completed the task shorter if I had the possibility to see that information was missing directly in the database. I used Copilot to explain me some part of code, unfortunatly it missguided me to the wrong problem (mappers agin, probably because I oriented my questions). I finally succeeded in setting a a debug mode, where, with some breakpoints, I was able to inspect the data, which leads me to the right place where the problem occurs. Codding the time filter was quite easy, although I probably should have add comments into the code.",12/9/2024 15:29:27,"I think it was something like 1.5h, with some interruptions (mails, children, ...). The context switches were not that much problematic as far as I remember, as my main problem was my lack of knowledge about Spring project structure.",1,18,10,28,3,False,False,False,False,True,False,False,5400.0,2.9
anon070,1,2,1,True,8.37,0.68,8.0,9145,5400.0,Man,50-59,Italy,Professional,Advanced,Yes,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,14/11/2024 09:50:47,"Yes, but breaks",Yes,"GitHub Copilot, Claude",Sometimes,4.0,,4.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,"most of the time AI gets in the way, in the wrong way :)",11/22/2024 15:56:12,"I completed the task in a single session but, despite my best efforts, I was interrupted 3/4 times by my colleagues. Probably the net time spent developing was 1.5 hours counting the switching overhead.",7,314,220,534,13,False,False,True,False,True,False,False,5400.0,2.5
anon011,1,0,0,True,8.32,0.7,14.0,37464,19800.0,Man,50-59,Poland,Hobbyist,Intermediate,Yes,4.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,14/11/2024 09:31:59,No,Yes,"JetBrains AI Assistant, GitHub Copilot, ChatGPT",Often,4.0,,4.0,2.0,3.0,4.0,2.0,4.0,2.0,5.0,3.0,4.0,I am back to coding after a significant break. I last wrote production-grade code 13 years ago.,12/2/2024 16:21:04,"That was over two months ago, so my estimate will be rough :) That was definitely more than 4 hours. I would call it 5 or even 6.",1,76,54,130,8,True,False,True,False,False,False,False,19800.0,2.9
anon057,0,0,0,True,7.97,0.67,18.0,56749,5400.0,Woman,40-49,New Zealand,Professional,Advanced,Yes,4.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,14/11/2024 09:13:30,Yes,Yes,Windsurf,Every statement,5.0,,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,"I didn’t write any of the code myself. I instructed Windsurf’s Flow tool and it made all the changes itself - even when I’d spot a mistake, I would tell it to fix it. It ran the tests for me as well. 

I’m doing a similar study on the impact of AI coding assistants on software engineering as part of my (part-time) Master’s of Engineering so am keen to stay in touch!",1/3/2025 6:54:06,,1,116,96,212,4,False,False,True,False,False,True,False,5400.0,4.0
anon054,0,0,3,True,9.12,0.98,54.0,17151,,Man,40-49,Austria,Professional,Advanced,Yes,5.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,14/11/2024 08:25:22,Yes,Yes,"ChatGPT, Cline, Cursor",Every statement,4.0,,5.0,5.0,3.0,2.0,5.0,4.0,4.0,4.0,5.0,1.0,"My approach was to learn how well it works letting the AI do most of the work on its own and me being the mentor like with a new colleague at work steering where necessary. Regarding ""How frequently did you inter- act with the AI assistant?"" -> 'cline' did most of the work autonomously based on the existing code and description.",11/22/2024 17:36:38,,2,3094,138,3232,42,True,True,True,False,False,False,False,17151.0,4.4
anon110,1,0,2,True,8.49,0.7,5.0,62727,18000.0,Man,30-39,Germany,Hobbyist,Advanced,Yes,5.0,5.0,5.0,4.0,5.0,5.0,2.0,4.0,5.0,14/11/2024 06:25:23,No,Yes,GitHub Copilot,Every statement,3.0,,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,2.0,"I am an experienced software developer with other tech stacks, I have no professional experience with Java. This task would have been very difficult and time consuming if not impossible for me without GitHub Copilot. It gave critical clues about where to start my debugging. I also would have completed a minimalistic (possibly defective) feature implementation in the same amount of time without it. With GitHub Copilot, I could improve the codebase with additional unit tests with ease.",11/26/2024 13:08:37,"I truly appreciate the opportunity to contribute to this fascinating research. AI is, without a doubt, the most exciting technological boom I have ever witnessed. Regarding the coding task, I completed it in two sessions—our baby made sure an uninterrupted session wasn’t an option! I had never coded in Java before, and I’m convinced that without AI, completing the task would have been impossible for me. After a few AI-assisted dead ends, I was able to wrap my mind around the problem, which allowed me to solve it and finalize my contribution in the second session. Unfortunately, I no longer have access to the repository or my local copy, so I can’t verify precise timestamps. However, there should be a significant gap in the commit log reflecting the two separate sessions. My best estimate for the total completion time is around 5.0 hours. If needed, I’d be happy to verify this for you if you can provide the commit log with timestamps. I’d like to repeat my emphasis that, personally, I would not have been able to complete the task without AI. If this defect had occurred in a work setting without AI assistance, it could have led to missed release deadlines or other commitments, potentially resulting in business value loss. The biggest advantage of AI in my coding projects is that it helps me get ""unstuck"" much faster and maintain a steady coding flow. It has also enabled me to explore new technologies productively, even those I have little to no prior experience with. At work, this translates to, for example, more proof-of-concept exploration to find better tooling or technical solutions for our projects.",8,134,63,197,8,True,False,True,False,False,False,False,18000.0,4.4
anon133,2,1,0,True,8.43,0.7,2.0,9910,,Man,40-49,United States,Professional,Intermediate,Yes,4.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,14/11/2024 03:50:14,Yes,Yes,"GitHub Copilot, Grok",Every statement,4.0,,5.0,4.0,4.0,1.0,5.0,4.0,4.0,4.0,5.0,5.0,"I have not used Java as a full-time professional language since 2011, so I did spend more time than I'm sure I otherwise would've if I were familiar with the modern version of Java and Spring. Not to mention the IDE capabilities. Still, since common patterns were used, once I understood how they were expressed in the app it was easy to proceed.

One thing where Copilot really accelerated my work was that once I understood the structure of the system I could make reference to constructs from languages and frameworks that I use on a daily basis and have it translate them into the Java and Spring paradigm.

I saw the need to extract the templates into common partials, but I did not do that, even with the assistance of Copilot, because I wanted to complete in under 3 hours and get to bed. With more dedicated time, I may have looked for more refactoring improvements too.",11/21/2024 14:42:00,,6,90,31,121,8,True,False,True,False,False,False,False,9910.0,4.1
anon099,2,0,0,True,8.24,0.71,4.0,116712,12600.0,Man,30-39,United States,Professional,Intermediate,Yes,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,14/11/2024 02:58:58,No,Yes,JetBrains AI Assistant,Often,4.0,,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,"I spent the first day trying to build the project, the second day completing the task. Maybe this counts as two sittings. The second day took 2-3 hours.",11/18/2024 21:16:13,"It's been a long time but I remember the first day I spent about an hour setting up my environment including installing IDE and AI assistant and reaching the point that I can run the tests. The second day I spent about 2 hours doing the task. So I would say a total of 3 hours. If I said something different in the questionnaire, consider it the source of truth because my memory may fail me.",1,30,15,45,5,False,False,False,False,True,True,False,12600.0,3.5
anon064,2,1,1,True,8.39,0.69,1.0,719926,36000.0,Man,50-59,Philippines,Professional,Intermediate,Yes,5.0,5.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,14/11/2024 02:22:56,No,Yes,"GitHub Copilot, ChatGPT, JetBrains AI Assistant, Gemini",Every statement,2.0,,5.0,4.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,All the AI did poorly in identifying the issue with populating the database with the right values. They were focused on syntax rather than program flow.,11/25/2024 23:14:24,"All in all, I think I believe I spent around 10 hours spread over several sessions. - I first spent around 2 hours on Nov 16 setting up my environment and doing a first pass on the code. - I spent around 2 hours aggregate in chunks of up to 45 minutes in the intervening days testing various strategies. - I spent around 4.5 hours on Nov 22 to fully delve into the code, solving part 2 first before figuring out the error in part 1. - Finally, I spent 1.5 hours on Nov 23 to wrap up and test the code for part 1, followed by final submission. 

Additional notes -- - It's been years since I coded in Java and I had never worked with Spring before. I mostly work with Python. - I got stuck for a long time on Part 1 since I assumed it was some problem with the JPA. The AI wasn't very helpful until I saw what the actual problem was. - I made faster headway on Part 2 and the AI was more helpful. Hence, my first submission after I got a successful test on it. - My main AI was GitHub Copilot (75%), attached to my IntelliJ environment. I also used Gemini (10%) and ChatGPT (15%). - It was my first time working with a proper automated test environment, so that was also a pleasant surprise for me.",2,80,43,123,4,False,False,True,False,True,False,False,36000.0,4.0
anon087,1,0,3,True,8.38,0.7,1.0,6678,,Man,20-29,Australia,Professional,Intermediate,Yes,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,14/11/2024 02:09:19,Yes,Yes,"GitHub Copilot, ChatGPT",Sometimes,4.0,,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,,11/21/2024 11:42:32,,3,178,163,341,6,False,False,True,False,True,False,True,6678.0,3.8
anon073,1,1,1,True,8.38,0.67,19.0,537311,16200.0,Man,50-59,Australia,Professional,Advanced,Yes,5.0,3.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,14/11/2024 01:23:47,No,Yes,Cursor,Every statement,4.0,,4.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,5.0,2.0,"I haven't programmed in Java in 15 years, and never touched Spring boot. It would have taken me a lot longer without the help of an AI. The interaction with the AI felt like pair programming with someone with a vast experience but lazy who sometimes gives hacky answers. I had to constantly remind the AI to use the most recent and best practice information to get better code. I do have 30 years experience in development and multiple frameworks. I felt that that experience was important with identifying subpar code or dead leads that the AI suggested. Just pointing out those to the AI was enough for it to come up with better code. I hardly had to tamper with the code manually.",12/2/2024 21:06:27,"I just redid the work from scratch today using the same tools I used back last year. It took me 2.5 hours. The code passes the tests. It's similar to what I did the last time that I worked on it.I relied on the same AI assistant (Cursor + Claude Sonnet 3.5) to do all editing and fixing.You can probably add 2 extra hours for looking into what the codebase did the first time I looked at it. I now spend less time inspecting code than I did in November. The models have become better and I have more experience with what models and tools are good at and where they may make errors.  Just a note on this. Your research reflects a snapshot in time but I am seeing improvements on an almost daily basis in the dev tools, the models and the collective knowledge on how best to use them.",22,2635,257,2892,14,False,False,True,False,False,True,False,16200.0,4.2
anon128,0,0,2,True,8.16,0.69,6.0,703732,5400.0,Man,40-49,Portugal,Professional,Advanced,Yes,5.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,14/11/2024 00:38:14,No,Yes,"ChatGPT, GitHub Copilot",Every statement,2.0,,2.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,The AI failed many times to provide a valid answer to the coding problem. It was very dependent on the way I stated my prompt.,12/3/2024 16:27:48,If I recall correctly it took me around 1.5 hours on both sessions to complete and submit the task.,2,73,33,106,4,False,False,True,False,True,True,False,5400.0,2.6
anon026,0,4,0,True,8.41,0.65,6.0,1217723,23400.0,Man,30-39,Germany,Professional,Advanced,Yes,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,13/11/2024 22:25:24,"Yes, but breaks",Yes,JetBrains AI Assistant,Often,2.0,,1.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,lack of experience in Java and Spring Boot made myself mostly ask AI Assistant questions about both and focus less on best practices,12/2/2024 15:55:11,"I think 6 hours is a realistic estimate for the actual work on the task. 6.5 hours, including setting up the project and ide. It took me quite a while to get started, because my Spring Boot experience is very limited. But I also took a longer break in the
middle of the session. The actual work on the task took place exclusively on the 01.12.

On the 17.11., I only checked out the repository and ensured, that I can build the project and execute all tests, which also took me about
30 minutes, because of having to set up Java JDK and a proper Java IDE on my system.",11,409,233,642,18,False,False,True,True,True,True,False,23400.0,2.4
anon085,0,3,0,True,8.36,0.7,3.0,5411,,Man,30-39,Spain,Professional,Advanced,Yes,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,13/11/2024 20:53:05,"Yes, but breaks",Yes,ChatGPT,Sometimes,4.0,,5.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,1.0,"I spent more time dealing with the bug than working on the new feature. The phrase ""We do not expect that you will need to modify this API."" initially confused me a little, leading me to believe that the repository's code implemented the API and that I could access the endpoints on localhost. Including the URL in the documentation would have been helpful.
I fix it without using AI because the fix was very easy.",11/25/2024 22:46:01,,5,61,38,99,6,False,False,True,False,True,False,True,5411.0,3.7
anon066,1,1,0,True,8.21,0.73,2.0,9241,,Man,40-49,United Kingdom,Researcher,Advanced,Yes,4.0,4.0,3.0,5.0,5.0,2.0,2.0,4.0,3.0,13/11/2024 20:09:29,Yes,Yes,"ChatGPT, Supermaven",Sometimes,1.0,,4.0,3.0,4.0,4.0,5.0,5.0,2.0,3.0,5.0,4.0,"It was a stack that I've never used before, so I relied upon chat to get oriented. 

The task itself was not complex. I prefer algorithmic or datastructure challenges.",11/22/2024 16:46:41,,3,282,128,410,4,False,True,True,False,True,False,False,9241.0,3.5
anon121,0,3,0,True,8.28,0.7,5.0,107711,12600.0,Man,50-59,United States,Professional,Intermediate,Yes,4.0,4.0,4.0,2.0,4.0,1.0,3.0,2.0,4.0,13/11/2024 19:59:42,"Yes, but breaks",Yes,Claude,Sometimes,5.0,,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,"I was completely unfamiliar with Spring Boot. I've programmed in Java before, but for Android. My web api experience is with Node.js. Therefore I was lost from the start and most of my AI work was research into Spring Boot, getting a sense of the philosophy, patterns, and - importantly - telemetry and logging. Once I was able to log information out to the console, I moved quickly to identify the issues and fix the code. So my AI usage was mostly to get a handle on the framework and project, and a little syntax - I didn't rely on it as much to design the solution.",11/28/2024 23:25:54,,3,54,32,86,3,False,False,True,False,True,False,False,12600.0,4.1
anon148,1,2,0,True,8.31,0.68,3.0,10750,,Man,50-59,Israel,Professional,Intermediate,Yes,4.0,5.0,5.0,4.0,5.0,3.0,2.0,5.0,5.0,13/11/2024 19:43:01,No,Yes,Cursor,Every statement,4.0,,5.0,5.0,5.0,2.0,5.0,3.0,4.0,5.0,5.0,1.0,"The AI did most of the work, really. I just had to approve it's changes and ask to solve error messages if encountered. It even provided some nice enhancement ideas when asked. I honestly felt more like a product manager than a programmer.",11/29/2024 16:23:35,,2,92,40,132,5,False,False,True,False,True,False,False,10750.0,4.6
anon103,0,2,1,True,8.42,0.7,2.0,5067,,Man,30-39,India,Professional,Intermediate,Yes,4.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,14/10/2024 05:25:03,Yes,Yes,GitHub Copilot,Every statement,4.0,,5.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,Using copilot made the task easy. I used it to find correct syntax and refactor code to better readability.,10/24/2024 12:52:39,,1,129,96,225,4,False,False,True,False,False,False,False,5067.0,4.8
